taxonID,scientificName,parser_run
d69bfc3f-fdd7-5464-a2bb-3e2f8178577a,Abobra,1
aa2f48bb-8bec-5204-a6de-69e4beeeac80,Abroba,1
64e07a21-57cc-57fe-a321-883afefd9bd3,Abrobra,1
487b9a88-ea4f-52a6-a622-c7172b2619a7,Ac1,
d6a5f7cc-e8bf-55ee-b4d3-3691d8f93fe4,AcBulk ino1,
b46b4b59-d66d-5361-a745-8fc893fb6a1f,Acacia tortilis,1
844f0812-b45f-5367-8cde-b6fd6f6cd067,Acaenolithus,1
6177fc2d-ca78-57f6-8cd1-f1037a9a4d10,Acaenolithus cenomanicus,1
6704199a-65d8-5b21-8912-38b36a81ace2,Acaenolithus galloisii,1
2b386ae8-078c-5768-a2f2-f3fec4869345,Acaenolithus viriosus,1
06954c3b-c8e2-54f4-a57e-1394ee3e46af,Acalvus,1
93c69e8a-e498-5790-aec5-695ed0add8c3,Acanthina monodon,1
a551e441-f657-5f8c-a155-c33febd0aa35,Acanthinula aculeata,1
0dc2c929-15b5-5f93-b7e5-6b8698446efd,Acanthixalus sonjae,1
6764ac89-70f9-5bad-850c-dd51ee209097,Acanthixalus spinosus,1
b852941d-02d7-5a3a-9448-1ff5e0f46cd7,Acanthocardia,1
8c76df7d-9684-543d-9df9-2cf41518c463,Acanthoica,1
22a7ebee-5413-5ed5-9498-488354e1a5d2,Acanthoica acanthos,1
b05a5d17-0d17-5679-b020-82bf986757bb,Acanthoica quattrospina,1
05652ee1-d88a-5199-b03e-ac6e9d37b608,Acantholichen pannarioides,1
bd1a60f8-e0a6-5aa8-983f-1f73dde42ff9,Acaryochloris marina,1
f1677b18-5078-5e83-86e1-a5f19fba514b,Acave3,
7241d3d0-69b8-5daa-8ec1-403a95d4db93,Acavidae,1
fc1f0025-ca89-5d01-94be-6006fedd3800,Acavoidea,1
b81793f6-c4e1-5671-bae3-391444a75244,Acavus haemastoma,1
3186d908-d676-55a1-a60a-aa350929a8cd,Acavus phoenix,1
13fd7b3d-ca1a-5252-bcac-6793b678acd5,Accipiter gentilis,1
46bd938c-d561-5eac-8dee-bd80d0fbfcb6,Accipiter nisus,1
8cb04843-49f7-56a3-84d9-93b56569a2e7,Acdp821,
3e1050e4-3240-5e73-9216-fcd2c446d6c1,Acer,1
557bffa3-4ad7-51ef-89db-b29f04eea2ae,Acer rubrum,1
f877548a-0440-5311-831b-6e760b7a96d0,Achaeta unibulba,1
7767b0a9-3fc1-5907-a490-1b7e91343d0b,Achatina bicarinata,1
f3b7d72c-8099-5b58-a1ea-28047cfd18d7,Achatina fulica,1
63acbdb3-0d8d-5732-9678-bf4bebeba970,Achatinella apexfulva,1
03af401f-01b4-5705-b758-56f7e29ad8be,Achatinella bulimoides mistura,1
1b064f52-8ed4-59a4-a60c-43acf59da8c5,Achatinella mustelina,1
0f54bf83-f164-58fd-999c-b247134eb168,Achatinidae,1
cdd7e384-99ad-5425-b5be-a27f0a178630,Achatinoidea,1
5e868908-bff5-5fa9-a309-a6d561b99ad1,Acheta,1
c02f6372-4be4-5f9e-a28b-42b1b9cf7af8,Acheta domesticus,1
c3776864-be9d-5569-b099-00e51ed115cd,Achillea millefolium,1
4154cc11-b1a3-5da8-b1a4-e71787dde53a,Achillea wilsoniana,1
966179f5-aa93-5604-858f-167425a2907c,Achrom2,
